ResourceID,Day,ShiftNo,JobID,SchStart,SchCompletion,ActStart,ActCompletion
__export__.mrp_workcenter_63_98a7a00b,2026-01-12,1,b6492_4,2,15,,
__export__.mrp_workcenter_63_98a7a00b,2026-01-12,2,b6492_4,0,15,,
__export__.mrp_workcenter_63_98a7a00b,2026-01-13,1,b6492_4,0,4,,
__export__.mrp_workcenter_63_98a7a00b,2026-01-27,2,fb1e0_5,9,16,0,16
__export__.mrp_workcenter_63_98a7a00b,2026-01-28,1,fb1e0_5,0,16,0,16
__export__.mrp_workcenter_63_98a7a00b,2026-01-28,2,fb1e0_5,0,16,0,16
__export__.mrp_workcenter_63_98a7a00b,2026-01-29,1,fb1e0_5,0,16,0,16
__export__.mrp_workcenter_63_98a7a00b,2026-01-29,2,fb1e0_5,0,1,0,1
__export__.mrp_workcenter_63_98a7a00b,2026-01-30,2,434f8_5,0,6,0,6
__export__.mrp_workcenter_66_9f807a30,2026-01-14,2,b6492_2,10,15,,
__export__.mrp_workcenter_66_9f807a30,2026-01-15,1,b6492_2,0,15,,
__export__.mrp_workcenter_66_9f807a30,2026-01-15,2,b6492_2,0,12,,
__export__.mrp_workcenter_67_d1ac8ce6,2026-01-15,2,b6492_1,12,15,,
__export__.mrp_workcenter_67_d1ac8ce6,2026-01-16,1,b6492_1,0,15,,
__export__.mrp_workcenter_67_d1ac8ce6,2026-01-16,2,b6492_1,0,14,,
__export__.mrp_workcenter_57_6faf5319,2026-01-13,1,b6492_3,4,15,,
__export__.mrp_workcenter_57_6faf5319,2026-01-13,2,b6492_3,0,15,,
__export__.mrp_workcenter_57_6faf5319,2026-01-13,3,b6492_3,0,15,,
__export__.mrp_workcenter_57_6faf5319,2026-01-14,1,b6492_3,0,15,,
__export__.mrp_workcenter_57_6faf5319,2026-01-14,2,b6492_3,0,10,,
