PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[4022-337-33842],120,2026-09-04 08:00:00,2026-09-04 11:10:00,M5-02_(FR5_02),190.0,14925.0,120,[4022-337-33842] arret holder,2026-07-16 12:00:00,TBRM /MO/01824
[4022.632.63021],1430,2026-09-04 11:10:00,2026-09-04 19:00:00,M5-02_(FR5_02),464.0,7034.0,1430,[4022.632.63021] WTP LOCKING NUT,2026-08-10 02:00:00,TBRM /MO/02374
[4023-001-43251B],15,2026-09-04 19:10:00,2026-09-04 22:10:00,M5-02_(FR5_02),180.0,15010.0,15,[4023-001-43251B] Block detection RI,2026-09-18 02:00:00,TBRM /MO/01938
[4022-674-35671],46,2026-09-04 22:10:00,2026-09-07 11:10:00,M5-02_(FR5_02),780.0,14992.0,46,[4022-674-35671] MBI WS LTT SSXY MAN PLUG,2026-09-23 02:00:00,TBRM /MO/02297
[4022.695.89661],26,2026-09-07 20:00:00,2026-09-08 23:30:00,M5-02_(FR5_02),1650.0,19106.0,26,[4022.695.89661] MBI WS MK2 AORTA BRACE IF,2026-08-19 02:00:00,TBRM /MO/02303
[4022-333-13805],250,2026-09-08 23:40:00,2026-09-11 03:10:00,M5-02_(FR5_02),3090.0,14917.0,250,[4022-333-13805] dr pnt cilinder,2027-02-08 12:00:00,TBRM /MO/02357
[4512-127-05186B],1000,2026-09-08 23:50:00,2026-09-14 12:40:00,M5-02_(FR5_02),5090.0,15017.0,1000,[4512-127-05186B] Anschlag,2026-10-26 01:00:00,TBRM /MO/02371
[4022.632.63021],1600,2026-09-14 16:00:00,2026-09-15 00:20:00,M5-02_(FR5_02),498.0,7034.0,1600,[4022.632.63021] WTP LOCKING NUT,2026-10-05 02:00:00,TBRM /MO/02354
[4022.632.63021],1600,2026-09-15 08:00:00,2026-09-15 16:20:00,M5-02_(FR5_02),498.0,7034.0,1600,[4022.632.63021] WTP LOCKING NUT,2026-11-10 01:00:00,TBRM /MO/02356
[4022-333-11506],86,2026-09-15 16:40:00,2026-09-17 00:20:00,M5-02_(FR5_02),1896.0,14916.0,86,[4022-333-11506] lagerblok,2026-12-31 12:00:00,TBRM /MO/01615
